Column1,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression-ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,nlimpute,num_doors,num_cylinders,engine_size_cc,power2weight_ratio
135,1,87,toyota,gas,std,two,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6338,toyota,2,4,1507,0.030392157
136,1,74,toyota,gas,std,four,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488,toyota,4,4,1507,0.030769231
137,0,77,toyota,gas,std,four,wagon,Front Wheel Drive,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918,toyota,4,4,1507,0.027192982
138,0,81,toyota,gas,std,four,wagon,Four Wheel Drive,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898,toyota,4,4,1507,0.027074236
139,0,91,toyota,gas,std,four,wagon,Four Wheel Drive,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778,toyota,4,4,1507,0.019935691
140,0,91,toyota,gas,std,four,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,6938,toyota,4,4,1605,0.033637674
141,0,91,toyota,gas,std,four,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7198,toyota,4,4,1605,0.033191086
142,0,91,toyota,diesel,std,four,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,toyota,4,4,1802,0.024615385
143,0,91,toyota,diesel,std,four,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,toyota,4,4,1802,0.024615385
144,0,91,toyota,gas,std,four,sedan,Front Wheel Drive,front,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738,toyota,4,4,1605,0.033428844
145,0,91,toyota,gas,std,four,hatchback,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358,toyota,4,4,1605,0.032987747
146,0,91,toyota,gas,std,four,sedan,Front Wheel Drive,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258,toyota,4,4,1605,0.03271028
147,1,168,toyota,gas,std,two,sedan,Rear Wheel Drive,front,94.5,168.7,64,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8058,toyota,2,4,1605,0.032272937
148,1,168,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238,toyota,2,4,1605,0.031760436
149,1,168,toyota,gas,std,two,sedan,Rear Wheel Drive,front,94.5,168.7,64,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298,toyota,2,4,1605,0.049448124
150,1,168,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,94.5,168.7,64,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538,toyota,2,4,1605,0.048695652
151,2,134,toyota,gas,std,two,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449,toyota,2,4,2392,0.045669291
152,2,134,toyota,gas,std,two,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639,toyota,2,4,2392,0.045741325
153,2,134,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,98.4,176.2,65.6,52,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989,toyota,2,4,2392,0.045472364
154,2,134,toyota,gas,std,two,hardtop,Rear Wheel Drive,front,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199,toyota,2,4,2392,0.043299739
155,2,134,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549,toyota,2,4,2392,0.042741341
156,2,134,toyota,gas,std,two,convertible,Rear Wheel Drive,front,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669,toyota,2,4,2392,0.038991597
157,-1,65,toyota,gas,std,four,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948,toyota,4,4,1999,0.03955288
158,-1,65,toyota,diesel,turbo,four,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698,toyota,4,4,1802,0.029435484
159,-1,65,toyota,gas,std,four,hatchback,Front Wheel Drive,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988,toyota,4,4,1999,0.038111019
160,-1,65,toyota,gas,std,four,sedan,Front Wheel Drive,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898,toyota,4,4,1999,0.038111019
161,-1,65,toyota,gas,std,four,hatchback,Front Wheel Drive,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248,toyota,4,4,1999,0.037428804
162,3,197,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558,toyota,2,6,2802,0.054099462
163,3,197,toyota,gas,std,two,hatchback,Rear Wheel Drive,front,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998,toyota,2,6,2802,0.053381963
164,-1,90,toyota,gas,std,four,sedan,Rear Wheel Drive,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690,toyota,4,6,2802,0.049824337
165,-1,110.2903226,toyota,gas,std,four,wagon,Rear Wheel Drive,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750,toyota,4,6,2638,0.049508093
166,2,122,volkswagen,diesel,std,two,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7775,volkswagen,2,4,1589,0.022998673
167,2,122,volkswagen,gas,std,two,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975,volkswagen,2,4,1786,0.03847895
168,2,94,volkswagen,diesel,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995,volkswagen,4,4,1589,0.022968198
169,2,94,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195,volkswagen,4,4,1786,0.038426763
170,2,94,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495,volkswagen,4,4,1786,0.037362637
171,2,94,volkswagen,diesel,turbo,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495,volkswagen,4,4,1589,0.029322984
172,2,94,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995,volkswagen,4,4,1786,0.043478261
173,3,121.25,volkswagen,gas,std,two,convertible,Front Wheel Drive,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595,volkswagen,2,4,1786,0.039929015
174,3,256,volkswagen,gas,std,two,hatchback,Front Wheel Drive,front,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980,volkswagen,2,4,1786,0.040522287
175,0,121.25,volkswagen,gas,std,four,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295,volkswagen,4,5,2228,0.041337843
176,0,121.25,volkswagen,diesel,turbo,four,sedan,Front Wheel Drive,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,13845,volkswagen,4,4,1589,0.026366809
177,0,121.25,volkswagen,gas,std,four,wagon,Front Wheel Drive,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290,volkswagen,4,4,1786,0.034334764
178,-2,103,volvo,gas,std,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940,,4,4,2310,0.039148352
179,-1,74,volvo,gas,std,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415,,4,4,2310,0.03757416
180,-2,103,volvo,gas,std,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985,,4,4,2310,0.038841567
181,-1,74,volvo,gas,std,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515,,4,4,2310,0.037475345
182,-2,103,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420,,4,4,2130,0.05320197
183,-1,74,volvo,gas,turbo,four,wagon,Rear Wheel Drive,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950,,4,4,2130,0.051314539
184,-1,95,volvo,gas,std,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845,,4,4,2310,0.038617886
185,-1,95,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045,,4,4,2310,0.052476222
186,-1,95,volvo,gas,std,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485,,4,6,2834,0.044488712
187,-1,95,volvo,diesel,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470,,4,6,2376,0.032949953
188,-1,95,volvo,gas,turbo,four,sedan,Rear Wheel Drive,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625,,4,4,2310,0.037230568
